Edad,Experiencia,Genero,Nacionalidad,Salario_USD,Horas_Semanales,Empresa,Lenguaje,Area,Proyectos_Activos
39,4,Femenino,Perú,1132,45,Mercado Libre,JavaScript,IA,5
54,13,No binario,Brasil,2477,39,Mercado Libre,SQL,Data Science,1
49,28,Femenino,México,3712,48,SAP,JavaScript,Frontend,5
49,2,Masculino,Argentina,1062,44,SAP,Python,Bases de datos,3
36,12,No binario,Chile,2264,50,Oracle,JavaScript,Data Science,5
35,7,Masculino,España,1689,48,IBM,JavaScript,Frontend,2
27,6,No binario,Argentina,1622,44,Oracle,Python,Sistemas,3
22,1,Femenino,Uruguay,1000,37,Oracle,JavaScript,IA,4
34,13,Femenino,Brasil,1970,50,Globant,C++,IA,1
57,22,Masculino,Chile,3308,49,SAP,SQL,Data Science,1
50,7,Femenino,España,1808,40,Mercado Libre,JavaScript,Full Stack,1
59,40,No binario,Argentina,5500,38,Accenture,JavaScript,Data Science,1
40,20,Masculino,Brasil,2880,42,Oracle,Python,Frontend,3
35,14,Femenino,Perú,2382,45,Oracle,C++,Data Science,5
45,15,Masculino,Argentina,2510,50,Accenture,C++,IA,1
51,27,No binario,Perú,4580,45,Mercado Libre,JavaScript,Data Science,1
48,27,Masculino,Uruguay,4715,44,Oracle,JavaScript,Full Stack,4
41,21,Masculino,España,3152,46,SAP,JavaScript,IA,4
23,4,No binario,España,1140,36,SAP,Java,Full Stack,2
24,6,No binario,Brasil,1550,43,Mercado Libre,JavaScript,IA,3
45,13,No binario,México,2074,37,IBM,C++,Full Stack,3
31,8,No binario,Chile,1720,35,Mercado Libre,C++,Backend,5
43,7,Masculino,Perú,1521,43,Globant,Java,Frontend,4
23,4,No binario,Uruguay,1152,41,Accenture,C++,Full Stack,2
41,9,Masculino,Chile,1844,45,Accenture,Python,Sistemas,1
30,8,Femenino,Uruguay,1824,44,Mercado Libre,JavaScript,Sistemas,1
26,3,No binario,Brasil,1148,49,Mercado Libre,C#,Frontend,5
37,12,Femenino,México,1880,49,Oracle,Java,Data Science,3
34,13,No binario,Chile,2165,42,IBM,Python,IA,4
41,13,Masculino,Perú,2087,36,Globant,Python,Data Science,4
59,32,Femenino,Brasil,4192,40,Mercado Libre,C++,IA,3
57,39,Femenino,Perú,5500,42,Accenture,SQL,IA,2
41,10,Femenino,Chile,1940,50,IBM,Java,Backend,4
